name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;318;0;461;3171;1097;3171;1335;0
header;287;187;287;233;1922;233;1922;187
A;332;53;332;54;332;54;332;53
B;1083;398;1083;415;1097;415;1097;398
A;1007;676;1007;681;1012;681;1012;676
A;862;723;862;728;867;728;867;723
A;365;957;365;961;370;961;370;957
B;1204;1094;1204;1113;1220;1113;1220;1094
B;1225;1185;1225;1202;1238;1202;1238;1185
A;545;1970;545;1995;551;1995;551;1970
A;823;2178;823;2189;829;2189;829;2178
A;820;2304;820;2308;825;2308;825;2304
